iter	Logloss
0	0.6845535911
1	0.6750015348
2	0.6655836025
3	0.6563354861
4	0.6470309854
5	0.6395577243
6	0.6293874737
7	0.6193150909
8	0.6081256843
9	0.5990963485
10	0.5892024948
11	0.5821824944
12	0.5745603534
13	0.5661824714
14	0.5591187434
15	0.5508736423
16	0.544424779
17	0.5373410259
18	0.5296864198
19	0.5220706083
20	0.514500281
21	0.5062744081
22	0.4983185895
23	0.4931683259
24	0.4875906995
25	0.4811920665
26	0.473821745
27	0.4668234616
28	0.4616883256
29	0.4561006574
30	0.450736147
31	0.4461990758
32	0.4406547003
33	0.4357500518
34	0.429686183
35	0.425035952
36	0.4191711496
37	0.412997958
38	0.4085066752
39	0.4031879931
40	0.3974540756
41	0.3934115694
42	0.3884643254
43	0.3831508495
44	0.3783520461
45	0.3739143731
46	0.3696937422
47	0.3658018669
48	0.3621472829
49	0.3579145027
50	0.3536297804
51	0.3486923619
52	0.3443495281
53	0.3403391438
54	0.3364216402
55	0.3326499653
56	0.3296328329
57	0.3251793761
58	0.3221998377
59	0.3179425909
60	0.3137087877
61	0.3095165291
62	0.3071736421
63	0.3046491791
64	0.301427208
65	0.2976910814
66	0.2952754816
67	0.2924899077
68	0.2889124391
69	0.2855254164
70	0.2833800268
71	0.2804380496
72	0.2779125902
73	0.2750564052
74	0.2719227147
75	0.2687993793
76	0.2662033142
77	0.2629352786
78	0.2602273003
79	0.2581997254
80	0.2559758046
81	0.2534938646
82	0.251226674
83	0.2482078633
84	0.2456904867
85	0.2432260332
86	0.2417832477
87	0.2395529151
88	0.2372938631
89	0.2352259258
90	0.2334042819
91	0.2313770182
92	0.22947883
93	0.2271207858
94	0.2253557789
95	0.223980319
96	0.2220195239
97	0.2202248537
98	0.2181462447
99	0.2162508864
100	0.2148675419
101	0.2127820701
102	0.2113245201
103	0.209399861
104	0.2073571705
105	0.2058589712
106	0.2045382624
107	0.2028161048
108	0.2011782209
109	0.2001225144
110	0.19874151
111	0.1971780942
112	0.1955224429
113	0.19356607
114	0.1918839828
115	0.1904130233
116	0.1888123654
117	0.1875393816
118	0.1862619318
119	0.1846756902
120	0.1834855849
121	0.1818905458
122	0.1802193365
123	0.1789057059
124	0.1775028302
125	0.1760932381
126	0.1746502869
127	0.1732927881
