iter	Passed	Remaining
0	1	1996
1	3	1927
2	4	1658
3	6	1570
4	8	1607
5	9	1533
6	10	1536
7	11	1473
8	13	1515
9	15	1542
10	16	1521
11	17	1473
12	19	1467
13	20	1457
14	22	1468
15	23	1456
16	24	1427
17	25	1414
18	27	1417
19	28	1407
20	29	1385
21	30	1369
22	32	1376
23	33	1374
24	35	1386
25	36	1382
26	38	1389
27	40	1397
28	41	1395
29	42	1377
30	43	1368
31	44	1348
32	45	1344
33	47	1345
34	48	1346
35	49	1335
36	50	1326
37	52	1323
38	53	1309
39	54	1305
40	55	1307
41	57	1312
42	59	1318
43	60	1317
44	61	1312
45	63	1314
46	64	1317
47	66	1312
48	67	1300
49	67	1290
50	69	1294
51	70	1287
52	73	1313
53	75	1320
54	76	1322
55	78	1325
56	79	1314
57	80	1306
58	81	1306
59	83	1304
60	84	1298
61	85	1290
62	86	1285
63	87	1279
64	89	1280
65	90	1274
66	90	1264
67	92	1265
68	93	1266
69	95	1267
70	96	1264
71	97	1262
72	98	1256
73	99	1249
74	101	1247
75	102	1245
76	103	1242
77	104	1237
78	105	1233
79	106	1226
80	108	1226
81	109	1228
82	111	1228
83	112	1221
84	113	1219
85	114	1221
86	115	1214
87	116	1210
88	118	1210
89	119	1212
90	121	1214
91	123	1219
92	124	1216
93	126	1218
94	128	1219
95	129	1217
96	130	1218
97	131	1213
98	132	1208
99	134	1207
100	135	1201
101	136	1202
102	138	1206
103	139	1203
104	141	1205
105	143	1206
106	144	1201
107	144	1196
108	146	1198
109	148	1197
110	149	1197
111	151	1198
112	152	1194
113	153	1191
114	154	1188
115	155	1185
116	156	1184
117	158	1186
118	159	1184
119	161	1181
120	162	1180
121	164	1180
122	165	1182
123	167	1185
124	169	1185
125	171	1186
126	172	1186
127	173	1182
128	174	1179
129	175	1175
130	176	1173
131	177	1167
132	178	1164
133	179	1160
134	180	1157
135	182	1157
136	183	1158
137	185	1156
138	186	1156
139	188	1155
140	189	1156
141	191	1155
142	192	1153
143	193	1149
144	194	1146
145	195	1145
146	197	1145
147	199	1146
148	200	1146
149	202	1147
150	204	1148
151	205	1145
152	206	1143
153	207	1142
154	209	1141
155	210	1138
156	211	1137
157	213	1135
158	214	1132
159	215	1130
160	216	1128
161	217	1125
162	218	1122
163	220	1122
164	221	1120
165	222	1118
166	223	1116
167	224	1113
168	226	1112
169	228	1113
170	229	1114
171	231	1114
172	232	1111
173	233	1108
174	234	1107
175	236	1105
176	237	1106
177	239	1103
178	240	1102
179	241	1102
180	243	1100
181	244	1097
182	245	1095
183	246	1092
184	247	1089
185	248	1087
186	249	1084
187	250	1083
188	252	1082
189	253	1079
190	254	1078
191	255	1074
192	256	1074
193	258	1072
194	259	1070
195	260	1068
196	261	1065
197	262	1062
198	263	1062
199	265	1061
200	266	1058
201	267	1056
202	268	1053
203	269	1051
204	270	1048
205	271	1048
206	273	1046
207	273	1043
208	275	1042
209	277	1042
210	278	1041
211	280	1041
212	282	1042
213	284	1044
214	286	1044
215	288	1046
216	290	1046
217	291	1044
218	292	1042
219	293	1041
220	294	1039
221	296	1037
222	297	1036
223	299	1036
224	300	1036
225	302	1035
226	303	1034
227	305	1034
228	306	1033
229	308	1033
230	310	1032
231	311	1029
232	312	1029
233	314	1028
234	315	1028
235	317	1027
236	318	1025
237	320	1025
238	321	1024
239	323	1025
240	325	1025
241	328	1030
242	330	1029
243	332	1029
244	333	1028
245	335	1028
246	337	1027
247	338	1025
248	339	1024
249	341	1024
250	342	1023
251	344	1022
252	346	1021
253	347	1019
254	348	1018
255	350	1017
256	351	1015
257	353	1015
258	354	1015
259	356	1014
260	357	1011
261	359	1011
262	360	1009
263	361	1007
264	362	1005
265	363	1003
266	364	1001
267	365	999
268	367	997
269	368	996
270	370	996
271	371	995
272	373	994
273	375	993
274	376	992
275	378	992
276	379	990
277	380	988
278	382	988
279	383	985
280	384	984
281	386	982
282	387	981
283	388	980
284	390	979
285	391	978
286	393	977
287	394	976
288	395	973
289	397	972
290	398	971
291	400	970
292	401	969
293	403	967
294	404	965
295	405	963
296	406	961
297	407	959
298	408	958
299	410	957
300	411	956
301	413	955
302	414	953
303	416	953
304	417	951
305	418	949
306	419	947
307	421	946
308	422	944
309	423	942
310	424	940
311	425	938
312	426	936
313	428	935
314	429	934
315	431	933
316	432	932
317	434	931
318	435	930
319	436	928
320	438	927
321	439	925
322	440	924
323	442	922
324	443	922
325	447	925
326	448	923
327	450	923
328	453	924
329	458	931
330	461	931
331	465	936
332	476	954
333	479	955
334	486	965
335	488	964
336	489	963
337	490	961
338	492	960
339	494	959
340	496	958
341	497	957
342	498	955
343	500	954
344	502	953
345	503	952
346	505	951
347	507	950
348	508	949
349	510	947
350	512	946
351	513	945
352	514	942
353	516	942
354	518	941
355	520	940
356	521	939
357	523	938
358	524	935
359	525	933
360	526	932
361	528	931
362	529	929
363	531	928
364	532	926
365	533	924
366	536	925
367	537	923
368	539	922
369	541	921
370	542	919
371	543	917
372	544	915
373	545	913
374	546	911
375	548	909
376	550	909
377	551	907
378	552	905
379	553	903
380	554	900
381	556	900
382	558	899
383	559	897
384	560	895
385	561	893
386	562	891
387	564	890
388	566	889
389	567	887
390	569	886
391	570	885
392	572	884
393	574	882
394	575	881
395	576	879
396	578	878
397	579	876
398	584	880
399	585	878
400	587	877
401	588	875
402	590	874
403	591	872
404	593	871
405	594	869
406	595	867
407	597	866
408	598	864
409	599	863
410	601	861
411	602	859
412	603	857
413	604	855
414	605	853
415	606	851
416	607	849
417	608	847
418	609	845
419	611	843
420	612	842
421	613	840
422	615	839
423	616	837
424	618	836
425	619	834
426	621	833
427	622	832
428	623	830
429	624	828
430	626	826
431	627	825
432	628	823
433	629	821
434	630	819
435	631	817
436	632	815
437	634	813
438	635	811
439	636	810
440	637	807
441	638	806
442	639	804
443	641	803
444	643	802
445	644	800
446	645	798
447	646	796
448	647	794
449	649	793
450	650	791
451	651	789
452	652	787
453	653	785
454	654	784
455	656	783
456	657	781
457	658	779
458	659	777
459	661	776
460	663	775
461	664	773
462	665	771
463	666	770
464	668	768
465	669	766
466	670	765
467	672	764
468	673	762
469	674	760
470	675	758
471	677	757
472	678	755
473	679	753
474	680	752
475	682	750
476	683	749
477	684	747
478	685	745
479	686	743
480	687	741
481	689	740
482	690	739
483	692	738
484	693	736
485	694	734
486	696	733
487	697	731
488	698	730
489	699	728
490	701	726
491	702	724
492	703	722
493	704	721
494	705	719
495	707	718
496	710	718
497	711	717
498	712	715
499	714	714
500	716	713
501	717	711
502	718	710
503	720	709
504	722	707
505	723	706
506	725	705
507	726	703
508	728	702
509	729	700
510	730	699
511	732	697
512	733	696
513	735	695
514	736	693
515	737	692
516	739	690
517	740	689
518	741	687
519	742	685
520	743	683
521	744	681
522	745	680
523	747	679
524	748	677
525	749	675
526	750	673
527	752	672
528	754	671
529	755	670
530	757	668
531	758	667
532	760	666
533	761	664
534	762	663
535	764	661
536	765	660
537	766	658
538	767	656
539	769	655
540	770	653
541	771	652
542	772	650
543	774	649
544	775	647
545	776	645
546	778	644
547	780	643
