Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,Time Taken
XGBClassifier,0.987012987012987,0.9772727272727273,1.0,0.9869204752925682,0.9872448979591836,0.987012987012987,0.13814711570739746
AdaBoostClassifier,0.961038961038961,0.9590909090909091,0.9946280991735538,0.9612931411096549,0.9619277662755923,0.961038961038961,0.29004383087158203
RandomForestClassifier,0.974025974025974,0.9545454545454546,0.9880165289256198,0.9736394557823128,0.974937343358396,0.974025974025974,0.28519678115844727
ExtraTreesClassifier,0.974025974025974,0.9545454545454546,0.9909090909090909,0.9736394557823128,0.974937343358396,0.974025974025974,0.2466139793395996
CatBoostClassifier,0.974025974025974,0.9545454545454546,0.9867768595041322,0.9736394557823128,0.974937343358396,0.974025974025974,1.685661792755127
LGBMClassifier,0.961038961038961,0.9454545454545454,0.9950413223140496,0.9607614258777051,0.9608843537414966,0.961038961038961,0.16928791999816895
GaussianNB,0.922077922077922,0.9454545454545454,0.9884297520661157,0.9245054945054946,0.9387755102040816,0.922077922077922,0.04064750671386719
SVC,0.961038961038961,0.9318181818181819,0.9826446280991736,0.9601307391076439,0.9630541871921183,0.961038961038961,0.043094635009765625
ExtraTreeClassifier,0.961038961038961,0.9318181818181819,0.9318181818181819,0.9601307391076439,0.9630541871921183,0.961038961038961,0.04146456718444824
BernoulliNB,0.922077922077922,0.9318181818181819,0.9582644628099173,0.9238544474393532,0.9310493428140487,0.922077922077922,0.0456843376159668
LinearDiscriminantAnalysis,0.922077922077922,0.9181818181818182,0.9644628099173553,0.9230503795721188,0.9254267744833784,0.922077922077922,0.04238629341125488
BaggingClassifier,0.922077922077922,0.9181818181818182,0.9479338842975207,0.9230503795721188,0.9254267744833784,0.922077922077922,0.13971662521362305
LinearSVC,0.922077922077922,0.9181818181818182,0.9694214876033058,0.9230503795721188,0.9254267744833784,0.922077922077922,0.04392051696777344
KNeighborsClassifier,0.935064935064935,0.9136363636363636,0.9867768595041322,0.9346023764628415,0.9345238095238094,0.935064935064935,0.043640851974487305
NearestCentroid,0.9090909090909091,0.9090909090909091,0.9776859504132233,0.9107178365480214,0.9153846153846154,0.9090909090909091,0.04658150672912598
QuadraticDiscriminantAnalysis,0.8831168831168831,0.9045454545454545,0.9859504132231405,0.887166517092274,0.9063013136288999,0.8831168831168831,0.048929691314697266
DecisionTreeClassifier,0.922077922077922,0.9045454545454545,0.9045454545454545,0.922077922077922,0.922077922077922,0.922077922077922,0.038655996322631836
LabelSpreading,0.935064935064935,0.9,0.9801652892561984,0.9335512318460731,0.9357013222711952,0.935064935064935,0.06483960151672363
LabelPropagation,0.935064935064935,0.9,0.9677685950413223,0.9335512318460731,0.9357013222711952,0.935064935064935,0.05904865264892578
RidgeClassifier,0.9090909090909091,0.8954545454545455,0.9644628099173553,0.909683995922528,0.9106280193236715,0.9090909090909091,0.04553031921386719
NuSVC,0.922077922077922,0.8909090909090909,0.9842975206611569,0.9209183673469387,0.9213032581453634,0.922077922077922,0.04909992218017578
CalibratedClassifierCV,0.9090909090909091,0.8818181818181818,0.9694214876033058,0.9084433270479783,0.9081632653061225,0.9090909090909091,0.1113886833190918
LogisticRegression,0.9090909090909091,0.8818181818181818,0.9710743801652892,0.9084433270479783,0.9081632653061225,0.9090909090909091,0.04838418960571289
SGDClassifier,0.8831168831168831,0.8772727272727272,0.947107438016529,0.8852086469903134,0.8902197802197801,0.8831168831168831,0.043375253677368164
RidgeClassifierCV,0.8961038961038961,0.8727272727272728,0.9644628099173554,0.8961038961038961,0.8961038961038961,0.8961038961038961,0.047377586364746094
Perceptron,0.8961038961038961,0.8727272727272728,0.8892561983471076,0.8961038961038961,0.8961038961038961,0.8961038961038961,0.04940032958984375
PassiveAggressiveClassifier,0.8961038961038961,0.8590909090909091,0.9066115702479338,0.8945578231292517,0.894486215538847,0.8961038961038961,0.04648637771606445
DummyClassifier,0.7142857142857143,0.5,0.5,0.5952380952380952,0.5102040816326531,0.7142857142857143,0.0350947380065918
